NOME,IPC,Class_IPC
Abolição,0.80243941,Muito Alto
Acari,0.43033361,Muito Baixo
Água Santa,0.701895248,Alto
Alto Da Boa Vista,0.595572848,Baixo
Anchieta,0.628918508,Medio
Andaraí,0.713475744,Alto
Anil,0.757426512,Alto
Bancários,0.640065906,Medio
Bangu,0.679280348,Medio
Barra Da Tijuca,0.891414733,Muito Alto
Barra De Guaratiba,0.612061915,Medio
Barros Filho,0.456911592,Muito Baixo
Benfica,0.561637836,Baixo
Bento Ribeiro,0.736184279,Alto
Bonsucesso,0.723488318,Alto
Botafogo,0.843110374,Muito Alto
Brás de Pina,0.744869336,Alto
Cachambi,0.800224115,Muito Alto
Cacuia,0.73679006,Alto
Caju,0.488969869,Muito Baixo
Camorim,0.616614585,Medio
Campinho,0.715049369,Alto
Campo Dos Afonsos,0.929851439,Muito Alto
Campo Grande,0.689154367,Medio
Cascadura,0.652179551,Medio
Catete,0.80712154,Muito Alto
Catumbi,0.505241785,Baixo
Cavalcanti,0.674308816,Medio
Centro,0.762859531,Alto
Cidade De Deus,0.602069873,Medio
Cidade Nova,0.731743697,Alto
Cidade Universitária,0.691096968,Medio
Cocotá,0.790691641,Alto
Coelho Neto,0.643445476,Medio
Colégio,0.593428283,Baixo
Copacabana,0.865285739,Muito Alto
Cordovil,0.688850135,Medio
Cosme Velho,0.68815311,Medio
Cosmos,0.664848041,Medio
Costa Barros,0.526866025,Baixo
Curicica,0.701098956,Alto
Del Castilho,0.668620138,Medio
Deodoro,0.628193687,Medio
Encantado,0.741081741,Alto
Engenheiro Leal,0.64387906,Medio
Engenho Da Rainha,0.694709819,Medio
Engenho De Dentro,0.742748233,Alto
Engenho Novo,0.690055607,Medio
Estácio,0.583025445,Baixo
Flamengo,0.870099892,Muito Alto
Freguesia (Ilha do Governador),0.661147205,Medio
Freguesia (Jacarepaguá),0.769134731,Alto
Galeão,0.560168759,Baixo
Gamboa,0.599745257,Baixo
Gardênia Azul,0.626902895,Medio
Gávea,0.85402725,Muito Alto
Glória,0.847484344,Muito Alto
Grajaú,0.799470291,Alto
Guadalupe,0.689051414,Medio
Guaratiba,0.554036703,Baixo
Higienópolis,0.772087472,Alto
Honório Gurgel,0.639784757,Medio
Humaitá,0.876803831,Muito Alto
Inhaúma,0.679175568,Medio
Inhoaíba,0.63709605,Medio
Ipanema,0.884893377,Muito Alto
Irajá,0.743208942,Alto
