NOME,IPC,Class_IPC
Abolição,0.80,Muito Alto
Acari,0.43,Muito Baixo
Água Santa,0.70,Alto
Alto Da Boa Vista,0.59,Baixo
Anchieta,0.62,Medio
Andaraí,0.71,Alto
Anil,0.75,Alto
Bancários,0.64,Medio
Bangu,0.67,Medio
Barra Da Tijuca,0.89,Muito Alto
Barra De Guaratiba,0.61,Medio
Barros Filho,0.45,Muito Baixo
Benfica,0.56,Baixo
Bento Ribeiro,0.73,Alto
Bonsucesso,0.72,Alto
Botafogo,0.84,Muito Alto
Brás de Pina,0.74,Alto
Cachambi,0.80,Muito Alto
Cacuia,0.73,Alto
Caju,0.48,Muito Baixo
Camorim,0.61,Medio
Campinho,0.71,Alto
Campo Dos Afonsos,0.92,Muito Alto
Campo Grande,0.68,Medio
Cascadura,0.65,Medio
Catete,0.80,Muito Alto
Catumbi,0.50,Baixo
Cavalcanti,0.67,Medio
Centro,0.76,Alto
Cidade De Deus,0.60,Medio
Cidade Nova,0.73,Alto
Cidade Universitária,0.69,Medio
Cocotá,0.79,Alto
Coelho Neto,0.64,Medio
Colégio,0.59,Baixo
Copacabana,0.86,Muito Alto
Cordovil,0.68,Medio
Cosme Velho,0.68,Medio
Cosmos,0.66,Medio
Costa Barros,0.52,Baixo
Curicica,0.70,Alto
Del Castilho,0.66,Medio
Deodoro,0.62,Medio
Encantado,0.74,Alto
Engenheiro Leal,0.64,Medio
Engenho Da Rainha,0.69,Medio
Engenho De Dentro,0.74,Alto
Engenho Novo,0.69,Medio
Estácio,0.58,Baixo
Flamengo,0.87,Muito Alto
Freguesia (Ilha do Governador),0.66,Medio
Freguesia (Jacarepaguá),0.76,Alto
Galeão,0.56,Baixo
Gamboa,0.59,Baixo
Gardênia Azul,0.62,Medio
Gávea,0.85,Muito Alto
Glória,0.84,Muito Alto
Grajaú,0.79,Alto
Guadalupe,0.68,Medio
Guaratiba,0.55,Baixo
Higienópolis,0.77,Alto
Honório Gurgel,0.63,Medio
Humaitá,0.87,Muito Alto
Inhaúma,0.67,Medio
Inhoaíba,0.63,Medio
Ipanema,0.88,Muito Alto
Irajá,0.74,Alto
Itanhangá,0.54,Baixo
Jacaré,0.61,Medio
Jacarepaguá,0.58,Baixo
Jacarezinho,0.39,Muito Baixo
Jardim América,0.72,Alto
Jardim Botânico,0.85,Muito Alto
Jardim Carioca,0.71,Alto
Jardim Guanabara,0.87,Muito Alto
Jardim Sulacap,0.77,Alto
Joá,0.85,Muito Alto
Lagoa,0.91,Muito Alto
Laranjeiras,0.86,Muito Alto
Leblon,0.88,Muito Alto
Leme,0.83,Muito Alto
Lins De Vasconcelos,0.68,Medio
Madureira,0.65,Medio
Magalhães Bastos,0.67,Medio
Mangueira,0.34,Muito Baixo
Manguinhos,0.44,Muito Baixo
Maracanã,0.85,Muito Alto
Maré,0.54,Baixo
Marechal Hermes,0.64,Medio
Maria da Graça,0.80,Muito Alto
Méier,0.82,Muito Alto
Moneró,0.85,Muito Alto
Olaria,0.72,Alto
Oswaldo Cruz,0.70,Alto
Paciência,0.61,Medio
Padre Miguel,0.70,Alto
Paquetá,0.66,Medio
Parada De Lucas,0.56,Baixo
Parque Anchieta,0.74,Alto
Parque Columbia,0.58,Baixo
Pavuna,0.61,Medio
Pechincha,0.77,Alto
Pedra De Guaratiba,0.70,Alto
Penha,0.66,Medio
Penha Circular,0.71,Alto
Piedade,0.72,Alto
Pilares,0.70,Alto
Pitangueiras,0.61,Medio
Portuguesa,0.73,Alto
Praça da Bandeira,0.83,Muito Alto
Praça Seca,0.63,Medio
Praia Da Bandeira,0.80,Muito Alto
Quintino Bocaiúva,0.71,Alto
Ramos,0.74,Alto
Realengo,0.69,Medio
Recreio Dos Bandeirantes,0.77,Alto
Riachuelo,0.78,Alto
Ribeira,0.84,Muito Alto
Ricardo de Albuquerque,0.68,Medio
Rio Comprido,0.62,Medio
Rocha,0.79,Alto
Rocha Miranda,0.71,Alto
Rocinha,0.41,Muito Baixo
Sampaio,0.64,Medio
Santa Cruz,0.61,Medio
Santa Teresa,0.66,Medio
Santíssimo,0.66,Medio
Santo Cristo,0.67,Medio
São Conrado,0.79,Alto
São Cristóvão,0.69,Medio
São Francisco Xavier,0.68,Medio
Saúde,0.68,Medio
Senador Camará,0.64,Medio
Senador Vasconcelos,0.66,Medio
Sepetiba,0.62,Medio
Tanque,0.68,Medio
Taquara,0.73,Alto
Tauá,0.62,Medio
Tijuca,0.79,Alto
Todos Os Santos,0.84,Muito Alto
Tomás Coelho,0.68,Medio
Turiaçu,0.63,Medio
Urca,0.80,Muito Alto
Vargem Grande,0.51,Baixo
Vargem Pequena,0.58,Baixo
Vasco Da Gama,0.63,Medio
Vaz Lobo,0.66,Medio
Vicente De Carvalho,0.61,Medio
Vidigal,0.48,Muito Baixo
Vigário Geral,0.62,Medio
Vila Da Penha,0.82,Muito Alto
Vila Isabel,0.73,Alto
Vila Kosmos,0.74,Alto
Vila Militar,0.74,Alto
Vila Valqueire,0.77,Alto
Vista Alegre,0.81,Muito Alto
Zumbi,0.85,Muito Alto
