nome,IPC,Class_IPC
JARDIM SOCIAL,0.92,Muito Alto
CABRAL,0.91,Muito Alto
HUGO LANGE,0.91,Muito Alto
BATEL,0.91,Muito Alto
ALTO DA GLÓRIA,0.91,Muito Alto
BIGORRILHO,0.90,Muito Alto
AHÚ,0.90,Muito Alto
ALTO DA RUA XV,0.90,Muito Alto
SEMINÁRIO,0.90,Muito Alto
JUVEVÊ,0.90,Muito Alto
ÁGUA VERDE,0.89,Muito Alto
MOSSUNGUÊ,0.89,Muito Alto
VILA IZABEL,0.89,Muito Alto
BACACHERI,0.88,Muito Alto
CENTRO CÍVICO,0.88,Muito Alto
JARDIM DAS AMÉRICAS,0.88,Muito Alto
MERCÊS,0.87,Muito Alto
SÃO FRANCISCO,0.86,Muito Alto
SÃO LOURENÇO,0.86,Muito Alto
GUABIROTUBA,0.86,Muito Alto
BOM RETIRO,0.86,Muito Alto
CENTRO,0.86,Muito Alto
PORTÃO,0.85,Muito Alto
TARUMÃ,0.85,Muito Alto
CASCATINHA,0.85,Muito Alto
BOA VISTA,0.84,Muito Alto
CAMPINA DO SIQUEIRA,0.84,Muito Alto
CRISTO REI,0.84,Muito Alto
TINGUI,0.83,Muito Alto
SANTO INÁCIO,0.83,Muito Alto
VISTA ALEGRE,0.82,Muito Alto
FANNY,0.82,Muito Alto
REBOUÇAS,0.82,Muito Alto
SANTA FELICIDADE,0.82,Muito Alto
SÃO BRAZ,0.81,Muito Alto
CAPÃO RASO,0.81,Muito Alto
HAUER,0.80,Muito Alto
XAXIM,0.80,Muito Alto
BAIRRO ALTO,0.80,Muito Alto
CAMPO COMPRIDO,0.79,Alto
BOQUEIRÃO,0.79,Alto
BARREIRINHA,0.79,Alto
NOVO MUNDO,0.79,Alto
ORLEANS,0.79,Alto
LINDÓIA,0.78,Alto
GUAÍRA,0.78,Alto
SÍTIO CERCADO,0.78,Alto
TABOÃO,0.77,Alto
PILARZINHO,0.77,Alto
CAPÃO DA IMBUIA,0.77,Alto
ALTO BOQUEIRÃO,0.77,Alto
FAZENDINHA,0.76,Alto
ATUBA,0.76,Alto
PINHEIRINHO,0.76,Alto
JARDIM BOTÂNICO,0.75,Alto
SANTA CÂNDIDA,0.75,Alto
UBERABA,0.75,Alto
CIDADE INDUSTRIAL DE CURITIBA,0.75,Alto
SANTA QUITÉRIA,0.75,Alto
CAJURU,0.74,Alto
ABRANCHES,0.73,Alto
AUGUSTA,0.73,Alto
PAROLIN,0.71,Alto
SÃO JOÃO,0.71,Alto
BOTIATUVINHA,0.71,Alto
CACHOEIRA,0.69,Medio
TATUQUARA,0.68,Medio
PRADO VELHO,0.67,Medio
CAMPO DE SANTANA,0.66,Medio
UMBARÁ,0.65,Medio
SÃO MIGUEL,0.59,Baixo
GANCHINHO,0.56,Baixo
CAXIMBA,0.53,Baixo
LAMENHA PEQUENA,0.51,Baixo
RIVIERA,0.40,Muito Baixo
