NOME,IPC,Class_IPC
COCO,0.81,Muito Alto
MEIRELES,0.81,Muito Alto
GUARARAPES,0.80,Muito Alto
ALDEOTA,0.79,Alto
DE LOURDES,0.78,Alto
DIONISIO TORRES,0.78,Alto
VARJOTA,0.77,Alto
FATIMA,0.76,Alto
PRAIA DE IRACEMA,0.75,Alto
MUCURIPE,0.75,Alto
GENTILANDIA,0.74,Alto
SALINAS,0.74,Alto
JOAQUIM TAVORA,0.73,Alto
JOSE BONIFACIO,0.72,Alto
BENFICA,0.72,Alto
ALAGADICO,0.71,Alto
PARQUELANDIA,0.70,Alto
CENTRO,0.70,Alto
PARREAO,0.70,Alto
PARQUE MANIBURA,0.70,Alto
CIDADE DOS FUNCIONARIOS,0.70,Alto
PATRIOLINO RIBEIRO,0.68,Medio
ENG LUCIANO CAVALCANTE,0.69,Medio
MONTESE,0.69,Medio
PARQUE ARAXA,0.69,Medio
DAMAS,0.68,Medio
CAMBEBA,0.68,Medio
PARQUE IRACEMA,0.68,Medio
RODOLFO TEOFILO,0.68,Medio
JARDIM AMERICA,0.67,Medio
DENDE,0.67,Medio
SAO JOAO DO TAUAPE,0.67,Medio
JOQUEI CLUBE,0.67,Medio
VILA UNIAO,0.66,Medio
MONTE CASTELO,0.66,Medio
SAO GERARDO,0.63,Medio
CIDADE 2000,0.66,Medio
BELA VISTA,0.66,Medio
AMADEU FURTADO,0.66,Medio
PAPICU,0.66,Medio
BOM FUTURO,0.66,Medio
VILA ELLERY,0.66,Medio
FARIAS BRITO,0.66,Medio
CONJUNTO CEARA II,0.66,Medio
ALVARO WEYNE,0.65,Medio
AEROLANDIA,0.65,Medio
PANAMERICANO,0.65,Medio
PRESIDENTE KENNEDY,0.65,Medio
MATA GALINHA,0.65,Medio
MESSEJANA,0.65,Medio
ITAPERI,0.65,Medio
CAJAZEIRAS,0.65,Medio
CONJUNTO CEARA I,0.64,Medio
PARANGABA,0.64,Medio
DOM LUSTOSA,0.64,Medio
PREFEITO JOSE VALTER,0.64,Medio
JACARECANGA,0.64,Medio
PADRE ANDRADE,0.64,Medio
VILA PERY,0.63,Medio
MANUEL DIAS BRANCO,0.63,Medio
ITAOCA,0.63,Medio
HENRIQUE JORGE,0.63,Medio
CONJUNTO ESPERANCA,0.63,Medio
ANTONIO BEZERRA,0.62,Medio
PARQUE SAO JOSE,0.62,Medio
JOSE DE ALENCAR,0.62,Medio
JOAO XXIII,0.62,Medio
JARDIM GUANABARA,0.62,Medio
MANOEL SATIRO,0.62,Medio
MARAPONGA,0.62,Medio
JARDIM CEARENSE,0.61,Medio
ALTO DA BALANCA,0.61,Medio
JARDIM IRACEMA,0.61,Medio
DEMOCRITO ROCHA,0.60,Medio
SERRINHA,0.60,Medio
CARLITO PAMPLONA,0.60,Medio
PARQUE SANTA ROSA,0.60,Medio
VILA VELHA,0.60,Medio
JARDIM DAS OLIVEIRAS,0.60,Medio
PASSARE,0.59,Baixo
MONDUBIM,0.59,Baixo
BONSUCESSO,0.59,Baixo
BARRA DO CEARA,0.59,Baixo
PICI,0.59,Baixo
LAGOA REDONDA,0.59,Baixo
DIAS MACEDO,0.59,Baixo
FLORESTA,0.58,Baixo
QUINTINO CUNHA,0.58,Baixo
JANGURUSSU,0.58,Baixo
EDSON QUEIROZ,0.58,Baixo
GRANJA PORTUGAL,0.58,Baixo
COACU,0.58,Baixo
BARROSO,0.58,Baixo
GUAJERU,0.58,Baixo
SAPIRANGA COITE,0.57,Baixo
BOM JARDIM,0.57,Baixo
VICENTE PINZON,0.57,Baixo
PLANALTO AYRTON SENNA,0.57,Baixo
CASTELAO,0.57,Baixo
BOA VISTA,0.56,Baixo
CRISTO REDENTOR,0.56,Baixo
PRAIA DO FUTURO I,0.56,Baixo
GRANJA LISBOA,0.56,Baixo
SAO BENTO,0.56,Baixo
PARQUE DOIS IRMAOS,0.56,Baixo
GENIBAU,0.56,Baixo
CONJUNTO PALMEIRAS,0.55,Baixo
ANCURI,0.55,Baixo
PRAIA DO FUTURO II,0.54,Baixo
AEROPORTO,0.54,Baixo
SIQUEIRA,0.54,Baixo
AUTRAN NUNES,0.54,Baixo
CANINDEZINHO,0.54,Baixo
PIRAMBU,0.53,Baixo
PARQUE PRESIDENTE VARGAS,0.53,Baixo
PAUPINA,0.52,Baixo
SABIAGUABA,0.52,Baixo
CAIS DO PORTO,0.51,Baixo
PEDRAS,0.50,Baixo
COUTO FERNANDES,0.50,Baixo
MOURA BRASIL,0.49,Muito Baixo
CURIO,0.49,Muito Baixo
