name,IPC,Class_IPC
Moema,0.89,Muito Alto
Jardim Paulista,0.89,Muito Alto
Alto de Pinheiros,0.88,Muito Alto
Consolação,0.88,Muito Alto
Itaim Bibi,0.88,Muito Alto
Pinheiros,0.87,Muito Alto
Santo Amaro,0.87,Muito Alto
Perdizes,0.87,Muito Alto
Vila Mariana,0.87,Muito Alto
Lapa,0.86,Muito Alto
Vila Leopoldina,0.86,Muito Alto
Tatuapé,0.85,Muito Alto
Campo Belo,0.84,Muito Alto
Butantã,0.84,Muito Alto
Santana,0.84,Muito Alto
Mooca,0.84,Muito Alto
Saúde,0.84,Muito Alto
Santa Cecília,0.84,Muito Alto
Morumbi,0.83,Muito Alto
Barra Funda,0.83,Muito Alto
Bela Vista,0.83,Muito Alto
Água Rasa,0.81,Muito Alto
Cambuci,0.81,Muito Alto
Tucuruvi,0.81,Muito Alto
Mandaqui,0.81,Muito Alto
Vila Formosa,0.81,Muito Alto
República,0.80,Muito Alto
Campo Grande,0.80,Muito Alto
Vila Prudente,0.80,Muito Alto
Vila Guilherme,0.80,Muito Alto
Liberdade,0.80,Muito Alto
Carrão,0.79,Alto
Ipiranga,0.79,Alto
Belém,0.79,Alto
Penha,0.79,Alto
Jaguara,0.78,Alto
Vila Matilde,0.78,Alto
São Lucas,0.78,Alto
Cursino,0.78,Alto
Socorro,0.78,Alto
Brás,0.78,Alto
Casa Verde,0.77,Alto
Aricanduva,0.77,Alto
Freguesia do Ó,0.77,Alto
Vila Sônia,0.77,Alto
Vila Andrade,0.76,Alto
Pirituba,0.76,Alto
Sé,0.76,Alto
Pari,0.75,Alto
Rio Pequeno,0.75,Alto
Limão,0.75,Alto
São Domingos,0.75,Alto
Artur Alvim,0.75,Alto
Vila Maria,0.74,Alto
Cangaiba,0.74,Alto
Vila Medeiros,0.74,Alto
Cidade Lider,0.74,Alto
Bom Retiro,0.73,Alto
Jaçanã,0.73,Alto
Sacomã,0.73,Alto
Ponte Rasa,0.73,Alto
São Mateus,0.72,Alto
Raposo Tavares,0.71,Alto
Parque do Carmo,0.71,Alto
Ermelino Matarazzo,0.71,Alto
Sapopemba,0.71,Alto
São Miguel,0.71,Alto
Jaguaré,0.71,Alto
Jabaquara,0.70,Alto
Vila Jacuí,0.70,Alto
Itaquera,0.70,Alto
Cachoeirinha,0.69,Medio
Vila Curuçá,0.69,Medio
Guaianases,0.68,Medio
José Bonifácio,0.68,Medio
Tremembé,0.68,Medio
Jaraguá,0.68,Medio
Itaim Paulista,0.67,Medio
Lajeado,0.67,Medio
Cidade Dutra,0.67,Medio
Cidade Ademar,0.66,Medio
Campo Limpo,0.66,Medio
Jardim São Luís,0.66,Medio
São Rafael,0.66,Medio
Perus,0.66,Medio
Iguatemi,0.65,Medio
Jardim Helena,0.65,Medio
Capão Redondo,0.65,Medio
Cidade Tiradentes,0.65,Medio
Pedreira,0.65,Medio
BrasilÔndia,0.64,Medio
Jardim Ângela,0.62,Medio
Anhanguera,0.61,Medio
Grajaú,0.61,Medio
Parelheiros,0.51,Baixo
Marsilac,0.39,Muito Baixo
