NOME,IPC,Class_IPC
Campo dos Afonsos,0.92,Muito Alto
Lagoa,0.91,Muito Alto
Barra da Tijuca,0.89,Muito Alto
Ipanema,0.88,Muito Alto
Leblon,0.88,Muito Alto
Flamengo,0.87,Muito Alto
Humaitá,0.87,Muito Alto
Jardim Guanabara,0.87,Muito Alto
Copacabana,0.86,Muito Alto
Laranjeiras,0.86,Muito Alto
Gávea,0.85,Muito Alto
Jardim Botânico,0.85,Muito Alto
Joá,0.85,Muito Alto
Maracanã,0.85,Muito Alto
Moneró,0.85,Muito Alto
Zumbi,0.85,Muito Alto
Botafogo,0.84,Muito Alto
Glória,0.84,Muito Alto
Ribeira,0.84,Muito Alto
Todos os Santos,0.84,Muito Alto
Leme,0.83,Muito Alto
Praça da Bandeira,0.83,Muito Alto
Méier,0.82,Muito Alto
Vila da Penha,0.82,Muito Alto
Vista Alegre,0.81,Muito Alto
Abolição,0.80,Muito Alto
Cachambi,0.80,Muito Alto
Catete,0.80,Muito Alto
Maria da Graça,0.80,Muito Alto
Praia da Bandeira,0.80,Muito Alto
Urca,0.80,Muito Alto
Cocotá,0.79,Alto
Grajaú,0.79,Alto
Rocha,0.79,Alto
São Conrado,0.79,Alto
Tijuca,0.79,Alto
Riachuelo,0.78,Alto
Higienópolis,0.77,Alto
Jardim Sulacap,0.77,Alto
Pechincha,0.77,Alto
Recreio dos Bandeirantes,0.77,Alto
Vila Valqueire,0.77,Alto
Centro,0.76,Alto
Freguesia (Jacarepaguá),0.76,Alto
Anil,0.75,Alto
Brás de Pina,0.74,Alto
Encantado,0.74,Alto
Engenho de Dentro,0.74,Alto
Irajá,0.74,Alto
Parque Anchieta,0.74,Alto
Ramos,0.74,Alto
Vila Kosmos,0.74,Alto
Vila Militar,0.74,Alto
Bento Ribeiro,0.73,Alto
Cacuia,0.73,Alto
Cidade Nova,0.73,Alto
Portuguesa,0.73,Alto
Taquara,0.73,Alto
Vila Isabel,0.73,Alto
Bonsucesso,0.72,Alto
Jardim América,0.72,Alto
Olaria,0.72,Alto
Piedade,0.72,Alto
Andaraí,0.71,Alto
Campinho,0.71,Alto
Jardim Carioca,0.71,Alto
Penha Circular,0.71,Alto
Quintino Bocaiúva,0.71,Alto
Rocha Miranda,0.71,Alto
Água Santa,0.70,Alto
Curicica,0.70,Alto
Osvaldo Cruz,0.70,Alto
Padre Miguel,0.70,Alto
Pedra de Guaratiba,0.70,Alto
Pilares,0.70,Alto
Cidade Universitária,0.69,Medio
Engenho da Rainha,0.69,Medio
Engenho Novo,0.69,Medio
Realengo,0.69,Medio
São Cristóvão,0.69,Medio
Campo Grande,0.68,Medio
Cordovil,0.68,Medio
Cosme Velho,0.68,Medio
Guadalupe,0.68,Medio
Lins de Vasconcelos,0.68,Medio
Ricardo de Albuquerque,0.68,Medio
São Francisco Xavier,0.68,Medio
Saúde,0.68,Medio
Tanque,0.68,Medio
Tomás Coelho,0.68,Medio
Bangu,0.67,Medio
Vila Kennedy,0.67,Medio
Cavalcanti,0.67,Medio
Inhaúma,0.67,Medio
Magalhães Bastos,0.67,Medio
Santo Cristo,0.67,Medio
Cosmos,0.66,Medio
Del Castilho,0.66,Medio
Freguesia (Ilha),0.66,Medio
Paquetá,0.66,Medio
Penha,0.66,Medio
Santa Teresa,0.66,Medio
Santíssimo,0.66,Medio
Senador Vasconcelos,0.66,Medio
Vaz Lobo,0.66,Medio
Cascadura,0.65,Medio
Madureira,0.65,Medio
Bancários,0.64,Medio
Gericinó,0.60,Medio
Coelho Neto,0.64,Medio
Engenheiro Leal,0.64,Medio
Marechal Hermes,0.64,Medio
Sampaio,0.64,Medio
Senador Camará,0.64,Medio
Honório Gurgel,0.63,Medio
Inhoaíba,0.63,Medio
Praça Seca,0.63,Medio
Turiaçú,0.63,Medio
Vasco da Gama,0.63,Medio
Anchieta,0.62,Medio
Deodoro,0.62,Medio
Gardênia Azul,0.62,Medio
Rio Comprido,0.62,Medio
Sepetiba,0.62,Medio
Tauá,0.62,Medio
Vigário Geral,0.62,Medio
Barra de Guaratiba,0.61,Medio
Camorim,0.61,Medio
Jacaré,0.61,Medio
Paciência,0.61,Medio
Pavuna,0.61,Medio
Pitangueiras,0.61,Medio
Santa Cruz,0.61,Medio
Vicente de Carvalho,0.61,Medio
Cidade de Deus,0.60,Medio
Alto da Boa Vista,0.59,Baixo
Colégio,0.59,Baixo
Gamboa,0.59,Baixo
Estácio,0.58,Baixo
Jacarepaguá,0.58,Baixo
Parque Colúmbia,0.58,Baixo
Vargem Pequena,0.58,Baixo
Benfica,0.56,Baixo
Galeão,0.56,Baixo
Parada de Lucas,0.56,Baixo
Guaratiba,0.55,Baixo
Itanhangá,0.54,Baixo
Maré,0.54,Baixo
Costa Barros,0.52,Baixo
Vargem Grande,0.51,Baixo
Catumbi,0.50,Baixo
Caju,0.48,Muito Baixo
Vidigal,0.48,Muito Baixo
Barros Filho,0.45,Muito Baixo
Manguinhos,0.44,Muito Baixo
Acari,0.43,Muito Baixo
Rocinha,0.41,Muito Baixo
Jacarezinho,0.39,Muito Baixo
Mangueira,0.34,Muito Baixo
Grumari,0.36,Muito Baixo
Complexo do Alemão,0.44,Muito Baixo
