NOME,IPC
AFONSO CLÁUDIO,0.492912011
ÁGUA DOCE DO NORTE,0.424856483
ÁGUIA BRANCA,0.394489648
ALEGRE,0.546334584
ALFREDO CHAVES,0.512911088
ALTO RIO NOVO,0.456653814
ANCHIETA,0.542244834
APIACÁ,0.536679639
ARACRUZ,0.598469232
ATILIO VIVACQUA,0.477234364
BAIXO GUANDU,0.516158811
BARRA DE SÃO FRANCISCO,0.513038968
BOA ESPERANÇA,0.495697039
BOM JESUS DO NORTE,0.637054534
BREJETUBA,0.419198222
CACHOEIRO DE ITAPEMIRIM,0.583985322
CARIACICA,0.553744172
CASTELO,0.52192455
COLATINA,0.59873319
CONCEIÇÃO DA BARRA,0.494748321
CONCEIÇÃO DO CASTELO,0.499281849
DIVINO DE SÃO LOURENÇO,0.459277497
DOMINGOS MARTINS,0.44850804
DORES DO RIO PRETO,0.515003598
ECOPORANGA,0.453202842
FUNDÃO,0.511120578
GOVERNADOR LINDENBERG,0.41898704
GUAÇUÍ,0.590242046
GUARAPARI,0.597407701
IBATIBA,0.515931889
IBIRAÇU,0.560162453
IBITIRAMA,0.450183179
ICONHA,0.516882713
IRUPI,0.378683706
ITAGUAÇU,0.508363559
ITAPEMIRIM,0.490472218
ITARANA,0.464719368
IÚNA,0.545785881
JAGUARÉ,0.474937401
JERÔNIMO MONTEIRO,0.538102237
JOÃO NEIVA,0.624150189
LARANJA DA TERRA,0.453035627
LINHARES,0.535307618
MANTENÓPOLIS,0.458784428
MARATAÍZES,0.547833898
MARECHAL FLORIANO,0.471952768
MARILÂNDIA,0.484362901
MIMOSO DO SUL,0.473957661
MONTANHA,0.517348156
MUCURICI,0.443157418
MUNIZ FREIRE,0.470385497
MUQUI,0.526435636
NOVA VENÉCIA,0.521267642
PANCAS,0.421171657
PEDRO CANÁRIO,0.509156098
PINHEIROS,0.488530549
PIÚMA,0.562966947
PONTO BELO,0.485353906
PRESIDENTE KENNEDY,0.438531621
RIO BANANAL,0.442638583
RIO NOVO DO SUL,0.497538
SANTA LEOPOLDINA,0.407604449
SANTA MARIA DE JETIBÁ,0.473579234
SANTA TERESA,0.524978052
SÃO DOMINGOS DO NORTE,0.414138146
SÃO GABRIEL DA PALHA,0.534518516
SÃO JOSÉ DO CALÇADO,0.50369888
SÃO MATEUS,0.4992556
SÃO ROQUE DO CANAÃ,0.461458136
SERRA,0.619140671
SOORETAMA,0.467879665
VARGEM ALTA,0.421644844
VENDA NOVA DO IMIGRANTE,0.529181591
VIANA,0.564219382
VILA PAVÃO,0.455092631
VILA VALÉRIO,0.441151032
VILA VELHA,0.626462119
VITÓRIA,0.69541442
